tradingday,secucode,preclose,open,high,low,close,vol,amount,deals,direction
20250701,1,12.07,12.06,12.33,12.06,12.3,135434108,1653806750.47,86073,1
20250701,2,6.42,6.42,6.42,6.31,6.35,59831800,380416981.0,28134,0
20250701,4,8.85,8.85,9.03,8.8,9.01,3931000,34957731.0,2060,1
20250701,6,6.45,6.4,6.43,6.31,6.39,29844322,189793705.44,13617,0
20250701,7,7.61,7.63,7.68,7.49,7.55,5764993,43531860.22,5619,0
20250701,8,2.79,2.79,2.79,2.76,2.78,34565900,95902071.0,6604,0
20250701,9,8.88,8.88,9.24,8.81,9.13,44428588,400893918.95,49832,1
20250701,10,3.01,3.03,3.03,2.93,2.96,18331200,54273708.0,8991,0
20250701,11,8.45,8.47,8.5,8.38,8.43,3027101,25490724.41,5915,0
20250701,12,4.62,4.63,4.65,4.61,4.65,9935271,46059386.22,6112,1
20250701,14,11.57,11.59,11.73,11.51,11.63,4370400,50762369.0,4884,1
20250701,16,5.16,5.2,5.23,5.11,5.14,51227293,264462682.09,30166,0
20250701,17,6.56,6.57,6.62,6.45,6.53,12847258,83927690.42,10991,0
20250701,19,6.66,6.66,6.7,6.62,6.67,6388949,42554048.19,9320,1
20250701,20,14.29,14.28,14.35,13.95,14.17,7769851,109830246.59,16234,0
20250701,21,18.74,18.67,19.24,18.65,18.73,42898334,808868430.16,62636,1
20250701,25,17.2,17.22,17.28,17.09,17.2,4567425,78492235.5,6346,0
20250701,26,15.82,17.4,17.4,16.11,16.51,85202609,1451644272.87,79347,0
20250701,27,6.38,6.4,6.46,6.38,6.42,19870507,127674292.13,19284,1
20250701,28,24.93,24.89,25.02,24.86,24.97,2560960,63895362.7,5595,1
20250701,29,18.82,18.82,18.92,18.65,18.85,2992001,56186978.76,6380,1
20250701,30,5.89,5.88,5.96,5.85,5.9,7490492,44202559.95,11539,1
20250701,31,2.65,2.66,2.67,2.61,2.63,10635210,27979032.2,4559,0
20250701,32,20.23,20.27,20.44,20.1,20.28,11381599,230606832.72,23552,1
20250701,34,37.64,37.58,37.58,36.79,37.1,17909763,664632679.56,42819,0
20250701,35,4.29,4.3,4.3,4.26,4.27,12983168,55457125.36,7226,0
20250701,36,3.65,3.66,3.73,3.59,3.7,23073520,84497665.6,8601,1
20250701,37,8.56,8.56,8.75,8.54,8.72,15801400,137107343.0,11144,1
20250701,39,7.86,7.86,7.9,7.83,7.89,30647964,241196623.74,24217,1
20250701,42,7.11,7.13,7.16,7.08,7.11,4941418,35139179.66,6346,0
20250701,45,11.09,11.08,11.26,11.02,11.24,11845901,132221272.03,15392,1
20250701,48,15.9,15.97,15.97,15.75,15.8,3066301,48527206.8,4606,0
20250701,49,22.76,22.77,22.82,22.25,22.5,5611889,125940547.79,15842,0
