tradingday,secucode,preclose,open,high,low,close,vol,amount,deals
20230630,1,11.18,11.18,11.31,11.15,11.23,51905258,583494654.79,24500
20230630,2,14.01,14.08,14.25,13.97,14.02,57652435,812655529.99,41049
20230630,4,15.99,15.5,16.2,14.99,15.25,12287758,191007110.4,14782
20230630,6,4.33,4.34,4.44,4.31,4.37,8934000,39219151.0,5691
20230630,7,4.26,4.47,4.47,4.47,4.47,330801,1478680.47,70
20230630,8,2.35,2.35,2.37,2.34,2.36,15297247,36042619.45,4910
20230630,9,11.84,11.8,12.08,11.79,12.07,16284746,195802060.4,21299
20230630,10,2.21,2.2,2.3,2.2,2.28,11567600,26190666.0,6704
20230630,11,9.19,9.21,9.35,9.2,9.29,1358200,12626141.04,2541
20230630,12,5.9,5.89,5.99,5.88,5.96,9706265,57809884.43,6396
20230630,14,11.29,11.38,11.84,11.24,11.44,12620086,145513134.58,22817
20230630,16,4.7,4.69,4.74,4.65,4.72,7613940,35857936.4,7492
20230630,17,4.2,4.23,4.33,4.18,4.32,3978376,17078721.36,6283
20230630,19,7.34,7.32,7.43,7.31,7.42,3160890,23370596.0,3813
20230630,20,11.02,10.81,12.12,10.78,11.57,16063231,184584011.96,23995
20230630,21,19.95,19.76,20.1,19.51,19.99,70161317,1391483735.46,97692
20230630,25,18.0,18.04,18.49,17.86,18.27,11264971,205625624.56,12003
20230630,26,11.94,12.01,12.19,11.93,12.06,3488500,42150479.0,9159
20230630,27,6.69,6.65,6.7,6.57,6.59,24071591,159196186.18,19665
20230630,28,42.25,42.21,44.15,41.84,43.61,6473896,282752667.13,26103
20230630,29,10.54,10.68,10.86,10.63,10.81,3170577,34207847.18,4650
20230630,30,5.03,5.03,5.1,4.99,5.04,7083258,35746581.94,11675
20230630,31,3.61,3.63,3.72,3.61,3.66,14516351,53331130.64,12137
20230630,32,32.96,32.65,33.18,32.35,32.9,12658094,415198123.3,35541
20230630,34,26.55,26.3,26.85,25.89,26.59,17758832,467897446.25,26879
20230630,35,4.5,4.5,4.62,4.48,4.58,11879486,54295772.8,11484
20230630,36,4.02,3.99,4.14,3.99,4.12,16081272,65812452.99,9866
20230630,37,13.22,13.24,13.76,12.24,12.27,97590479,1232112744.06,115614
20230630,39,6.89,6.91,6.92,6.86,6.89,8945503,61621809.55,7051
20230630,42,7.34,7.37,7.54,7.34,7.48,2714482,20284466.36,5125
20230630,45,10.71,10.72,11.07,10.63,11.0,6019184,65278615.32,12045
20230630,48,19.13,19.29,19.73,19.12,19.52,4426582,86325179.35,13361
20230630,49,34.2,34.19,35.43,34.08,35.28,5806371,203819176.04,15473
20230630,50,9.07,9.06,9.2,9.05,9.18,5164497,47243347.38,7980
20230630,55,4.65,4.63,5.07,4.63,4.95,31144043,152128952.31,20413
20230630,56,3.82,3.82,3.91,3.82,3.89,12211166,47408840.08,8291
20230630,58,6.15,6.15,6.23,6.15,6.18,4132825,25594112.0,7221
20230630,59,6.17,6.2,6.36,6.17,6.29,16487308,103908522.68,13554
