tradingday,secucode,preclose,open,high,low,close,vol,amount,deals
20240220,000001,9.8100,9.7900,9.8400,9.7300,9.8200,112356398,1098987813.2600,52729
20240220,000002,9.8400,9.9000,10.0200,9.7800,9.9000,90851587,897981304.5500,75423
20240220,000004,10.4000,10.4100,10.7200,10.0700,10.5500,7139347,74643577.9000,9325
20240220,000005,0.6600,0.6300,0.6900,0.6300,0.6900,70822984,46612867.3700,6032
20240220,000006,3.9900,3.9500,4.0000,3.9200,4.0000,19842888,78690636.8300,13821
20240220,000007,4.0800,4.0900,4.2800,4.0200,4.2800,2196000,9179766.0000,819
20240220,000008,2.1000,2.1000,2.1000,2.0600,2.0900,9335590,19464615.1000,3599
20240220,000009,11.9600,11.8800,12.2200,11.8800,11.9600,23260261,279528604.4600,32754
20240220,000010,2.0200,2.0300,2.1000,1.9700,2.1000,26407900,54186866.0000,11029
20240220,000011,8.2700,8.2300,8.3000,8.1400,8.2900,4282500,35219344.0000,3642
20240220,000012,5.7300,5.6700,5.7100,5.6400,5.6800,12262432,69735751.9900,18784
20240220,000014,11.4300,11.3000,11.4100,11.0600,11.3600,14175629,159689427.2100,14665
20240220,000016,3.0100,3.0200,3.0600,2.9400,3.0400,21060412,63272070.5400,12576
20240220,000017,10.0600,9.8800,11.0700,9.7900,11.0700,98990687,1034613501.1000,100126
20240220,000019,6.8200,6.8200,6.8400,6.6100,6.6600,7322880,48961749.2500,15032
20240220,000020,12.4400,12.7000,13.4000,12.1800,12.9100,23346242,298851198.3500,31297
20240220,000021,12.9400,12.7900,13.2900,12.5500,13.1800,40848351,529474094.1500,51709
20240220,000023,3.9300,3.9400,4.1300,3.8400,4.1300,4023300,16420169.0000,1046
20240220,000025,15.1400,14.9000,15.0000,14.6200,14.8300,8713320,128751914.2400,15431
20240220,000026,9.2700,9.2500,9.2500,9.0500,9.2300,3852803,35284776.0500,7694
20240220,000027,6.4800,6.4800,6.5200,6.4100,6.4700,22913589,148267965.7000,26109
20240220,000028,30.9800,30.8500,32.1700,30.6000,32.1500,9141141,290035878.6700,26957
20240220,000029,11.2900,11.1800,11.4700,11.0200,11.4100,6148316,69208564.1100,13105
20240220,000030,4.6200,4.5800,4.6000,4.4600,4.5700,12873992,58307888.6600,24891
20240220,000031,2.8100,2.8000,2.8200,2.7300,2.7600,16584493,45877031.6600,14155
20240220,000032,17.2200,17.0000,18.0500,16.7000,17.6800,32376712,566689132.8700,51033
20240220,000034,26.7900,26.3300,26.4500,25.8500,26.2900,18449735,483895949.9900,35877
20240220,000035,3.9100,3.9000,4.0000,3.8400,3.9800,30063296,118599704.6200,34304
20240220,000036,2.9000,2.9000,2.9500,2.8600,2.9400,14500358,42196722.7600,6443
20240220,000037,7.4000,7.3400,7.3900,7.1100,7.2900,21882841,158075468.8900,17284
20240220,000039,8.6800,8.7000,9.0400,8.5900,8.8800,39106655,347782097.8800,42490
20240220,000040,2.9100,2.8800,2.9200,2.8400,2.9000,11406570,32944961.3000,5352
20240220,000042,3.4900,3.4800,3.7300,3.4300,3.6800,16906800,60372098.0000,14323
20240220,000045,8.8000,8.8500,8.9700,8.6900,8.8900,9508408,83961591.0400,13485
20240220,000048,17.8100,17.8100,17.8100,17.4000,17.6400,3994580,70121167.4800,9667
20240220,000049,21.4200,21.3000,21.5000,21.0100,21.4700,3183412,67613301.6600,11980
20240220,000050,8.8000,8.7200,8.8700,8.5100,8.8300,16872236,146335135.2600,27820
20240220,000055,3.9300,3.9300,3.9700,3.8400,3.9300,4888736,19185782.8800,7094
20240220,000056,2.0900,2.1900,2.1900,2.0800,2.1600,69108571,147399262.9400,21532
20240220,000058,6.3200,6.3100,6.3100,6.1400,6.2500,17748422,110291732.0500,18003
20240220,000059,5.0100,5.0200,5.0200,4.9100,4.9700,17169551,85473226.4700,22807
20240220,000060,4.2800,4.2700,4.2900,4.2200,4.2800,31343672,133617301.6200,30366
20240220,000061,6.2000,6.1600,6.2200,6.0700,6.1400,8566760,52508532.4000,17083
20240220,000062,9.8600,9.8000,9.8100,9.4100,9.5700,5949629,56589627.2100,14460
20240220,000063,24.7000,24.4900,24.5600,24.1000,24.2900,80037442,1945535621.7500,87682
20240220,000065,10.4500,10.3100,10.5900,10.0900,10.5300,13168670,136655019.2800,24185
20240220,000066,9.3200,9.2200,9.2300,9.1000,9.1900,33123455,303660594.9300,30243
20240220,000068,3.5500,3.5300,3.7000,3.4300,3.6700,90906654,326245898.5900,45568
20240220,000069,3.0000,3.0000,3.0200,2.9500,3.0000,37625531,112329482.1400,22416
20240220,000070,7.2400,7.4400,7.7600,7.1900,7.3800,138025597,1024652301.7000,103122
20240220,000078,2.4400,2.4200,2.4900,2.3900,2.4700,16700942,41048570.4800,9766
20240220,000088,4.8600,4.8500,4.8800,4.7500,4.8600,9377177,45122841.8600,18728
20240220,000089,6.5400,6.5200,6.5400,6.4600,6.5000,10272169,66776714.4600,19104
20240220,000090,4.6300,4.6300,4.6600,4.5600,4.6300,37954876,175319426.3500,26056
20240220,000096,10.0300,9.9800,10.1200,9.8500,10.0400,3304169,33053189.1900,2880
20240220,000099,9.1400,9.0800,9.2000,8.9100,9.0600,35540127,321257792.6900,24712
20240220,000100,4.3400,4.3100,4.3800,4.2700,4.3600,216743112,939946999.7100,81359
20240220,000151,9.4800,9.4400,9.7700,9.2300,9.7300,27494631,262899511.9800,26970
20240220,000153,7.1200,7.0900,7.2900,6.9500,7.2700,10777152,77615364.8600,11727
20240220,000155,10.5200,10.5200,10.5200,10.2800,10.4500,12830814,133229311.3800,18739
20240220,000156,7.0900,7.1000,7.1400,6.9200,7.1200,11263560,79381488.6100,17110
20240220,000157,7.9200,7.9100,8.1800,7.8300,8.1500,65819725,532309504.9400,52305
20240220,000158,7.4600,7.3700,7.7500,7.2200,7.5200,81027312,608901395.7000,57336
