tradingday,secucode,preclose,open,high,low,close,vol,amount,deals
20250604,1,11.81,11.82,11.88,11.78,11.84,116795950,1383019682.25,82569
20250604,2,6.58,6.59,6.64,6.57,6.62,50625152,334336923.39,19800
20250604,6,6.74,6.72,6.8,6.69,6.74,19498200,131465171.99,10525
20250604,8,2.8,2.79,2.81,2.79,2.81,31920400,89387380.0,7680
20250604,9,7.93,7.93,8.04,7.93,7.98,10211814,81718630.01,14892
20250604,10,2.96,2.97,3.05,2.96,3.04,23515100,70852710.0,11256
20250604,11,8.58,8.58,8.61,8.48,8.6,3695600,31583825.0,6343
20250604,12,4.65,4.66,4.68,4.64,4.67,5723054,26684706.64,3945
20250604,14,11.58,11.58,11.66,11.47,11.57,4394522,50771613.48,5789
20250604,17,6.95,6.99,7.65,6.9,7.28,60843028,445989019.97,48972
20250604,19,6.91,6.88,6.99,6.83,6.96,12866510,89145722.5,13340
20250604,20,12.12,12.12,12.24,12.09,12.22,1216900,14830943.0,3544
20250604,21,17.23,17.27,17.47,17.25,17.42,11641504,202555864.64,17876
20250604,25,18.47,18.26,18.8,18.22,18.56,23773654,441497744.44,33608
20250604,26,14.71,14.72,14.83,14.38,14.8,11745288,171800276.92,17936
20250604,27,6.38,6.39,6.41,6.38,6.38,14295198,91353658.52,13975
20250604,28,25.57,25.55,25.87,25.43,25.77,4173714,107088093.1,7424
20250604,29,19.65,20.0,20.06,17.8,18.89,16285470,304969311.56,24742
20250604,30,6.05,6.09,6.09,5.97,6.03,8318634,50016013.32,11884
20250604,31,2.59,2.6,2.68,2.58,2.64,17312270,45505915.06,6235
20250604,32,19.62,19.99,20.34,19.74,19.84,19268200,385992969.2,38679
20250604,34,36.95,36.63,37.65,36.63,37.31,14399238,537570704.77,29538
20250604,35,4.31,4.31,4.34,4.3,4.31,15126888,65280686.11,6303
20250604,36,3.51,3.55,3.57,3.5,3.56,11645758,41188612.8,6328
20250604,37,9.17,9.11,9.16,9.0,9.03,20789563,188353346.86,19052
20250604,39,7.74,7.74,7.82,7.7,7.76,32680916,253451267.96,20269
20250604,42,6.86,6.86,6.96,6.86,6.96,6203500,42874617.0,6477
20250604,48,16.29,16.2,16.43,16.12,16.36,6083395,99037893.95,8018
20250604,50,8.25,8.26,8.28,8.19,8.21,10066224,82885660.04,17112
20250604,55,4.1,4.11,4.14,4.1,4.12,7372000,30353817.0,3111
20250604,56,3.09,3.11,3.24,3.1,3.16,46616494,147786774.1,11473
20250604,58,8.18,8.18,8.27,8.14,8.21,5761401,47311420.2,7291
20250604,59,5.38,5.39,5.53,5.36,5.48,16798377,91371413.05,13983
20250604,60,4.47,4.47,4.56,4.47,4.55,37567632,170226802.64,26020
20250604,61,6.65,6.64,6.72,6.56,6.72,12154083,80760823.76,14286
20250604,62,25.32,25.33,25.85,25.31,25.62,18484446,473475370.58,34660
20250604,63,31.11,31.2,31.76,31.2,31.61,47168756,1490768860.47,78604
20250604,65,10.33,10.34,10.41,10.31,10.33,7644442,79194103.4,5750
