tradingday,secucode,preclose,open,high,low,close,vol,amount,deals
20250603,2129,7.58,7.52,7.56,7.45,7.49,41126948,308021906.25,27390
20250604,2129,7.49,7.49,7.56,7.48,7.55,29687203,223413886.69,15564
20250605,2129,7.55,7.54,7.57,7.48,7.52,23322892,175191505.08,16250
20250606,2129,7.52,7.53,7.55,7.48,7.5,19748709,148343376.83,13836
20250609,2129,7.5,7.49,7.6,7.48,7.6,36966647,279735626.05,23576
20250610,2129,7.6,7.58,7.63,7.46,7.5,32987461,248871205.99,27029
20250611,2129,7.5,7.5,7.65,7.48,7.59,35133061,267311810.3,24293
20250612,2129,7.59,7.59,7.59,7.5,7.53,28420350,213884143.5,22832
20250613,2129,7.53,7.5,7.51,7.32,7.34,46868971,346636176.07,37586
20250616,2129,7.34,7.33,7.39,7.26,7.37,55002679,402409259.43,34313
20250617,2129,7.37,7.35,7.38,7.3,7.36,31552856,231800840.86,21154
20250618,2129,7.36,7.32,7.37,7.28,7.3,28702986,209862328.24,17421
20250619,2129,7.3,7.27,7.37,7.15,7.17,44655220,323652562.06,28205
20250620,2129,7.17,7.25,7.4,7.2,7.24,55245107,403691074.85,32188
20250623,2129,7.24,7.17,7.31,7.11,7.29,40281182,291366941.27,27552
20250624,2129,7.29,7.3,7.41,7.3,7.4,39031931,287525060.3,30787
20250625,2129,7.4,7.4,7.44,7.32,7.43,42883742,316386288.08,32100
20250626,2129,7.43,7.42,7.51,7.37,7.38,46399501,345186786.34,32602
20250627,2129,7.38,7.41,7.53,7.39,7.46,46800120,350060562.8,34289
20250630,2129,7.46,7.56,7.74,7.52,7.68,68670872,523357065.28,48919
20250701,2129,7.68,7.65,7.65,7.52,7.59,42737279,323972256.6,31947
