Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2023-07-03,000069,4.4,4.52,4.4,4.49,256385,114547176.0,0.09,2.0454545454545454,,,,,,,,,0,1,0,0,1,0,0,1
2023-07-04,000069,4.46,4.5,4.44,4.5,169040,75556720.0,0.01,0.2227171492204899,,,,,,,,,,,,,,,,
2023-07-05,000069,4.49,4.52,4.47,4.48,147286,66195836.0,-0.02,-0.4444444444444444,,,,,,,,,,,,,,,,
2023-07-06,000069,4.47,4.5,4.43,4.48,156368,69827288.0,0.0,0.0,0,2,0,2,0,0,2,0,,,,,,,,
2023-07-07,000069,4.47,4.52,4.45,4.47,145020,64944476.0,-0.01,-0.2232142857142857,,,,,,,,,,,,,,,,
2023-07-10,000069,4.48,4.5,4.45,4.49,141026,63128592.0,0.02,0.4474272930648769,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0
2023-07-11,000069,4.52,4.54,4.48,4.5,153435,69032256.0,0.01,0.2227171492204899,0,2,2,0,0,2,0,0,,,,,,,,
2023-07-12,000069,4.49,4.49,4.43,4.43,162597,72433128.0,-0.07,-1.5555555555555556,,,,,,,,,0,3,1,1,1,1,1,0
2023-07-13,000069,4.43,4.48,4.4,4.42,273529,121125432.0,-0.01,-0.2257336343115124,,,,,,,,,0,5,3,0,2,0,0,0
2023-07-14,000069,4.42,4.45,4.4,4.43,153345,67887944.0,0.01,0.2262443438914027,,,,,,,,,1,2,0,0,2,0,0,1
2023-07-17,000069,4.33,4.4,4.3,4.39,247317,107789880.0,-0.04,-0.9029345372460496,0,1,1,0,0,1,0,0,0,2,0,1,1,0,0,0
2023-07-18,000069,4.39,4.43,4.35,4.41,136859,60020820.0,0.02,0.4555808656036446,,,,,,,,,1,4,1,0,3,1,0,1
2023-07-19,000069,4.4,4.47,4.39,4.46,191354,85057864.0,0.05,1.1337868480725624,,,,,,,,,,,,,,,,
2023-07-20,000069,4.47,4.55,4.46,4.5,311327,140546448.0,0.04,0.8968609865470852,,,,,,,,,0,1,0,1,0,0,1,0
2023-07-21,000069,4.5,4.57,4.49,4.54,264508,119910216.0,0.04,0.8888888888888888,,,,,,,,,0,2,0,1,1,0,1,0
2023-07-24,000069,4.56,4.56,4.44,4.5,227335,102101336.0,-0.04,-0.881057268722467,,,,,,,,,0,1,0,1,0,0,0,0
2023-07-25,000069,4.55,4.7,4.54,4.65,659405,305916192.0,0.15,3.333333333333333,0,1,0,1,0,0,1,0,,,,,,,,
2023-07-26,000069,4.66,4.72,4.63,4.7,549670,257599232.0,0.05,1.0752688172043012,,,,,,,,,0,3,0,3,0,0,2,0
2023-07-27,000069,4.66,4.76,4.61,4.69,493456,232729504.0,-0.01,-0.2127659574468085,0,1,1,0,0,1,0,0,,,,,,,,
2023-07-28,000069,4.69,4.9,4.68,4.88,844609,405902368.0,0.19,4.051172707889126,0,1,0,1,0,0,1,0,,,,,,,,
2023-07-31,000069,4.91,5.0,4.88,4.91,727115,358884896.0,0.03,0.6147540983606558,,,,,,,,,,,,,,,,
2023-08-01,000069,4.9,4.95,4.82,4.85,657449,320739456.0,-0.06,-1.2219959266802445,,,,,,,,,,,,,,,,
2023-08-02,000069,4.84,4.93,4.83,4.85,435622,212283200.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-08-03,000069,4.86,4.94,4.76,4.94,503266,244799248.0,0.09,1.855670103092784,,,,,,,,,,,,,,,,
2023-08-04,000069,4.99,5.02,4.9,4.92,506094,250106336.0,-0.02,-0.4048582995951417,0,1,0,1,0,0,1,0,,,,,,,,
2023-08-07,000069,4.86,4.87,4.77,4.81,458498,220458768.0,-0.11,-2.2357723577235773,,,,,,,,,,,,,,,,
2023-08-08,000069,4.8,4.83,4.74,4.76,288653,137669760.0,-0.05,-1.0395010395010396,,,,,,,,,,,,,,,,
2023-08-09,000069,4.74,4.82,4.73,4.75,259512,123706064.0,-0.01,-0.2100840336134453,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0
2023-08-10,000069,4.74,4.81,4.73,4.78,234921,112055696.0,0.03,0.631578947368421,,,,,,,,,0,1,0,0,1,0,0,1
2023-08-11,000069,4.82,4.85,4.7,4.71,286898,136188960.0,-0.07,-1.4644351464435146,,,,,,,,,1,7,5,0,2,2,0,0
2023-08-14,000069,4.66,4.72,4.6,4.68,268210,124963520.0,-0.03,-0.6369426751592357,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
2023-08-15,000069,4.69,4.7,4.61,4.67,215374,100329640.0,-0.01,-0.2136752136752137,,,,,,,,,,,,,,,,
2023-08-16,000069,4.65,4.79,4.61,4.7,308705,145017568.0,0.03,0.6423982869379015,,,,,,,,,,,,,,,,
2023-08-17,000069,4.67,4.71,4.62,4.64,246213,114417528.0,-0.06,-1.276595744680851,,,,,,,,,0,2,0,2,0,0,2,0
2023-08-18,000069,4.65,4.68,4.55,4.56,297711,137121296.0,-0.08,-1.7241379310344829,,,,,,,,,0,1,0,0,1,0,0,1
2023-08-21,000069,4.51,4.56,4.45,4.46,293060,131928056.0,-0.1,-2.1929824561403506,,,,,,,,,0,1,1,0,0,1,0,0
2023-08-22,000069,4.47,4.51,4.42,4.46,245531,109354904.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-08-23,000069,4.45,4.47,4.4,4.41,193113,85620232.0,-0.05,-1.1210762331838564,,,,,,,,,,,,,,,,
