Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2023-07-03,601788,15.88,16.32,15.82,16.25,471030,758801856,0.36,2.2655758338577723
2023-07-04,601788,16.15,16.46,16.12,16.36,458351,748058304,0.11,0.676923076923077
2023-07-05,601788,16.4,16.45,16.18,16.19,378804,617212608,-0.17,-1.039119804400978
2023-07-06,601788,16.18,16.32,16.12,16.17,241886,392034304,-0.02,-0.1235330450895614
2023-07-07,601788,16.09,16.55,16.06,16.4,466552,761422272,0.23,1.4223871366728509
2023-07-10,601788,16.55,16.65,16.28,16.34,335884,552033024,-0.06,-0.3658536585365854
2023-07-11,601788,16.34,16.41,16.26,16.36,249914,408609472,0.02,0.1223990208078335
2023-07-12,601788,16.36,16.49,16.08,16.09,349748,568860032,-0.27,-1.6503667481662592
2023-07-13,601788,16.2,16.63,16.2,16.52,555649,916975360,0.43,2.672467371037912
2023-07-14,601788,16.52,16.56,16.4,16.46,295179,486093088,-0.06,-0.3631961259079903
2023-07-17,601788,16.32,16.4,16.25,16.36,226815,370015872,-0.1,-0.6075334143377886
2023-07-18,601788,16.36,16.48,16.26,16.41,252109,412938848,0.05,0.3056234718826406
2023-07-19,601788,16.41,16.67,16.35,16.66,445056,736032512,0.25,1.5234613040828764
2023-07-20,601788,16.76,16.82,16.35,16.38,497776,826315456,-0.28,-1.680672268907563
2023-07-21,601788,16.32,16.63,16.28,16.46,315327,519679648,0.08,0.4884004884004884
2023-07-24,601788,16.39,16.58,16.33,16.36,210339,345352000,-0.1,-0.6075334143377886
2023-07-25,601788,17.19,17.99,16.88,17.63,1609024,2792868352,1.27,7.76283618581907
2023-07-26,601788,17.63,17.77,17.3,17.67,896241,1574963840,0.04,0.2268859897901304
2023-07-27,601788,17.48,17.76,17.3,17.35,607352,1063154368,-0.32,-1.8109790605546123
2023-07-28,601788,17.36,18.96,17.36,18.76,1711105,3123563264,1.41,8.126801152737752
2023-07-31,601788,18.99,19.42,18.34,18.34,1726219,3239553792,-0.42,-2.238805970149253
2023-08-01,601788,18.11,18.61,17.88,18.05,1178929,2144395264,-0.29,-1.5812431842966197
2023-08-02,601788,17.95,18.45,17.88,18.05,813141,1476391808,0.0,0.0
2023-08-03,601788,18.17,18.68,17.72,18.57,1017967,1863215744,0.52,2.880886426592798
2023-08-04,601788,19.01,19.4,18.35,18.37,1977285,3730540544,-0.2,-1.0770059235325793
2023-08-07,601788,18.0,18.33,17.88,18.23,895772,1625152384,-0.14,-0.7621121393576483
2023-08-08,601788,18.15,19.99,17.55,19.18,2242160,4259268352,0.95,5.2111903455842015
2023-08-09,601788,19.22,19.25,18.64,18.75,1082467,2041973120,-0.43,-2.2419186652763297
2023-08-10,601788,18.84,19.58,18.84,19.5,1477195,2838572288,0.75,4.0
2023-08-11,601788,19.2,19.21,18.21,18.23,1377554,2570747392,-1.27,-6.512820512820512
2023-08-14,601788,17.81,18.28,17.8,17.82,817482,1470850304,-0.41,-2.249040043883708
2023-08-15,601788,17.65,18.21,17.6,18.21,744189,1340598400,0.39,2.1885521885521886
2023-08-16,601788,17.96,18.67,17.82,18.16,878101,1607104640,-0.05,-0.2745744096650192
2023-08-17,601788,17.98,18.48,17.72,18.06,834975,1507678848,-0.1,-0.5506607929515419
2023-08-18,601788,18.1,18.39,17.66,17.67,568069,1020100096,-0.39,-2.1594684385382057
2023-08-21,601788,17.46,17.64,17.09,17.14,604605,1046066112,-0.53,-2.999434069043577
2023-08-22,601788,17.09,17.27,16.8,17.15,523297,892297024,0.01,0.058343057176196
2023-08-23,601788,17.0,17.95,16.86,17.37,891306,1549330944,0.22,1.282798833819242
2023-08-24,601788,17.37,17.77,17.3,17.34,773975,1356144128,-0.03,-0.1727115716753022
2023-08-25,601788,17.01,17.55,17.01,17.32,544876,945737088,-0.02,-0.1153402537485582
2023-08-28,601788,19.05,19.05,17.47,17.63,1629633,2994722560,0.31,1.7898383371824482
2023-08-29,601788,17.61,18.1,17.17,17.91,983656,1735692032,0.28,1.588201928530913
2023-08-30,601788,17.75,17.93,17.5,17.68,599363,1057847296,-0.23,-1.2841987716359575
2023-08-31,601788,17.58,17.66,17.11,17.16,556691,964347456,-0.52,-2.941176470588235
2023-09-01,601788,17.26,17.33,16.86,16.92,419530,716251264,-0.24,-1.3986013986013983
2023-09-04,601788,17.0,17.45,16.9,17.3,593821,1024950656,0.38,2.2458628841607564
2023-09-05,601788,17.17,17.18,16.96,17.06,368410,628817472,-0.24,-1.3872832369942196
2023-09-06,601788,17.0,17.16,16.93,17.08,311516,530769920,0.02,0.1172332942555685
2023-09-07,601788,17.06,17.37,16.98,17.15,479968,825595072,0.07,0.4098360655737705
2023-09-08,601788,17.0,17.33,17.0,17.25,315825,542041024,0.1,0.5830903790087464
2023-09-11,601788,17.28,17.54,17.06,17.41,496035,859937216,0.16,0.927536231884058
2023-09-12,601788,17.31,17.45,17.15,17.18,307247,531542976,-0.23,-1.321079839172889
2023-09-13,601788,17.1,17.22,16.85,16.9,310227,527785792,-0.28,-1.629802095459837
2023-09-14,601788,16.99,17.0,16.69,16.81,313795,528387808,-0.09,-0.5325443786982248
2023-09-15,601788,16.93,16.99,16.65,16.69,279466,469709728,-0.12,-0.7138607971445567
2023-09-18,601788,16.6,16.83,16.51,16.75,212306,354872608,0.06,0.359496704613541
2023-09-19,601788,16.79,16.9,16.71,16.78,210353,353407584,0.03,0.1791044776119403
2023-09-20,601788,16.8,16.87,16.67,16.72,165680,278165568,-0.06,-0.3575685339690107
2023-09-21,601788,16.76,16.94,16.66,16.67,262739,441106240,-0.05,-0.2990430622009569
2023-09-22,601788,16.65,17.08,16.61,17.06,392008,663366656,0.39,2.339532093581284
2023-09-25,601788,16.98,16.98,16.74,16.78,294865,496535136,-0.28,-1.6412661195779603
2023-09-26,601788,16.8,16.89,16.72,16.73,163442,274274688,-0.05,-0.2979737783075089
2023-09-27,601788,16.74,16.84,16.69,16.74,210333,352318144,0.01,0.0597728631201434
2023-09-28,601788,16.79,16.83,16.65,16.66,185931,310433568,-0.08,-0.4778972520908005
2023-10-09,601788,16.55,16.55,16.09,16.42,320023,522334048,-0.24,-1.440576230492197
