Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2023-07-03,601668,5.74,5.83,5.68,5.78,2161222,1247219584,0.04,0.6968641114982579
2023-07-04,601668,5.76,5.84,5.68,5.73,1747011,1003970304,-0.05,-0.8650519031141869
2023-07-05,601668,5.71,5.84,5.7,5.75,1356663,784484480,0.02,0.3490401396160558
2023-07-06,601668,5.74,5.75,5.66,5.69,1258472,717230656,-0.06,-1.0434782608695654
2023-07-07,601668,5.67,5.71,5.62,5.64,1385265,783194624,-0.05,-0.8787346221441126
2023-07-10,601668,5.66,5.74,5.66,5.69,1151692,656125632,0.05,0.8865248226950355
2023-07-11,601668,5.74,5.77,5.68,5.73,1031780,590752704,0.04,0.7029876977152899
2023-07-12,601668,5.74,5.76,5.64,5.64,1228511,698659072,-0.09,-1.5706806282722512
2023-07-13,601668,5.67,5.72,5.66,5.71,1263048,719261184,0.07,1.2411347517730498
2023-07-14,601668,5.74,5.77,5.68,5.71,1257711,718773760,0.0,0.0
2023-07-17,601668,5.7,5.7,5.63,5.66,946836,534781248,-0.05,-0.8756567425569177
2023-07-18,601668,5.67,5.67,5.59,5.62,1221588,686678080,-0.04,-0.7067137809187279
2023-07-19,601668,5.6,5.66,5.59,5.65,1066115,599230400,0.03,0.5338078291814947
2023-07-20,601668,5.65,5.69,5.6,5.61,1403892,793434048,-0.04,-0.7079646017699115
2023-07-21,601668,5.56,5.56,5.47,5.5,2730539,1504508672,-0.11,-1.96078431372549
2023-07-24,601668,5.48,5.58,5.45,5.56,1631425,901229440,0.06,1.090909090909091
2023-07-25,601668,5.63,5.82,5.62,5.82,3580780,2064466944,0.26,4.676258992805756
2023-07-26,601668,5.81,5.85,5.78,5.83,1381751,803449216,0.01,0.1718213058419244
2023-07-27,601668,5.84,5.87,5.8,5.81,1160330,677040128,-0.02,-0.3430531732418524
2023-07-28,601668,5.81,6.04,5.78,6.02,2856620,1697441152,0.21,3.614457831325301
2023-07-31,601668,6.05,6.25,6.05,6.11,3020477,1856098816,0.09,1.495016611295681
2023-08-01,601668,6.08,6.17,6.06,6.1,1484181,905617792,-0.01,-0.1636661211129296
2023-08-02,601668,6.09,6.16,6.03,6.07,1213072,737015104,-0.03,-0.4918032786885246
2023-08-03,601668,6.06,6.14,6.01,6.11,1171000,711144256,0.04,0.6589785831960462
