Date,secucode,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2023-07-03,858,,,,,,,,,3.0,20.0,10.0,6.0,4.0,2.0,0.0,1.0
2023-07-04,858,0.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,7.0,26.0,10.0,10.0,6.0,1.0,3.0,1.0
2023-07-05,858,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0
2023-07-06,858,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0
2023-07-07,858,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,858,,,,,,,,,0.0,6.0,3.0,1.0,2.0,1.0,1.0,0.0
2023-07-11,858,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0
2023-07-12,858,,,,,,,,,0.0,10.0,5.0,3.0,2.0,0.0,0.0,0.0
2023-07-13,858,,,,,,,,,0.0,6.0,2.0,1.0,3.0,1.0,0.0,1.0
2023-07-14,858,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,4.0,0.0,0.0,1.0
2023-07-17,858,,,,,,,,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0
2023-07-18,858,,,,,,,,,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
2023-07-19,858,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0
2023-07-20,858,,,,,,,,,0.0,8.0,6.0,2.0,0.0,4.0,0.0,0.0
2023-07-21,858,,,,,,,,,1.0,9.0,7.0,0.0,2.0,4.0,0.0,1.0
2023-07-24,858,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2023-07-25,858,,,,,,,,,0.0,6.0,5.0,1.0,0.0,3.0,1.0,0.0
2023-07-26,858,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2023-07-27,858,,,,,,,,,2.0,4.0,3.0,1.0,0.0,3.0,1.0,0.0
2023-07-28,858,,,,,,,,,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0
2023-07-31,858,,,,,,,,,0.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0
2023-08-01,858,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2023-08-02,858,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,
2023-08-03,858,,,,,,,,,,,,,,,,
2023-08-04,858,,,,,,,,,1.0,5.0,3.0,1.0,1.0,2.0,0.0,0.0
2023-08-07,858,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0
2023-08-08,858,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
2023-08-09,858,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
2023-08-10,858,,,,,,,,,,,,,,,,
2023-08-11,858,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
