Date,secucode
2023-07-03,300059
2023-07-04,300059
2023-07-05,300059
2023-07-06,300059
2023-07-07,300059
2023-07-10,300059
2023-07-11,300059
2023-07-12,300059
2023-07-13,300059
2023-07-14,300059
2023-07-17,300059
2023-07-18,300059
2023-07-19,300059
2023-07-20,300059
2023-07-21,300059
2023-07-24,300059
2023-07-25,300059
2023-07-26,300059
2023-07-27,300059
2023-07-28,300059
2023-07-31,300059
2023-08-01,300059
2023-08-02,300059
2023-08-03,300059
2023-08-04,300059
2023-08-07,300059
2023-08-08,300059
2023-08-09,300059
2023-08-10,300059
2023-08-11,300059
2023-08-14,300059
2023-08-15,300059
2023-08-16,300059
2023-08-17,300059
2023-08-18,300059
2023-08-21,300059
2023-08-22,300059
2023-08-23,300059
2023-08-24,300059
2023-08-25,300059
2023-08-28,300059
2023-08-29,300059
2023-08-30,300059
2023-08-31,300059
2023-09-01,300059
2023-09-04,300059
2023-09-05,300059
2023-09-06,300059
2023-09-07,300059
2023-09-08,300059
2023-09-11,300059
2023-09-12,300059
2023-09-13,300059
2023-09-14,300059
2023-09-15,300059
2023-09-18,300059
2023-09-19,300059
2023-09-20,300059
2023-09-21,300059
2023-09-22,300059
2023-09-25,300059
2023-09-26,300059
2023-09-27,300059
2023-09-28,300059
2023-10-09,300059
2023-10-10,300059
2023-10-11,300059
2023-10-12,300059
2023-10-13,300059
2023-10-16,300059
2023-10-17,300059
2023-10-18,300059
2023-10-19,300059
2023-10-20,300059
2023-10-23,300059
2023-10-24,300059
2023-10-25,300059
2023-10-26,300059
2023-10-27,300059
2023-10-30,300059
2023-10-31,300059
2023-11-01,300059
2023-11-02,300059
2023-11-03,300059
2023-11-06,300059
2023-11-07,300059
2023-11-08,300059
2023-11-09,300059
2023-11-10,300059
2023-11-13,300059
2023-11-14,300059
2023-11-15,300059
2023-11-16,300059
2023-11-17,300059
2023-11-20,300059
2023-11-21,300059
2023-11-22,300059
2023-11-23,300059
2023-11-24,300059
2023-11-27,300059
2023-11-28,300059
2023-11-29,300059
2023-11-30,300059
2023-12-01,300059
2023-12-04,300059
2023-12-05,300059
2023-12-06,300059
2023-12-07,300059
2023-12-08,300059
2023-12-11,300059
2023-12-12,300059
2023-12-13,300059
2023-12-14,300059
2023-12-15,300059
2023-12-18,300059
2023-12-19,300059
2023-12-20,300059
2023-12-21,300059
2023-12-22,300059
2023-12-25,300059
2023-12-26,300059
2023-12-27,300059
2023-12-28,300059
2023-12-29,300059
