Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2020-04-29,603392,12.6,12.6,12.6,12.6,1288,1623964,0.0,0.0
2020-04-30,603392,13.86,13.86,13.86,13.86,441,611753,1.26,10.0
2020-05-06,603392,15.25,15.25,15.25,15.25,333,509182,1.39,10.028860028860027
2020-05-07,603392,16.78,16.78,16.78,16.78,292,490664,1.53,10.0327868852459
2020-05-08,603392,18.46,18.46,18.46,18.46,407,751414,1.68,10.0119189511323
2020-05-11,603392,20.31,20.31,20.31,20.31,730,1484417,1.85,10.021668472372696
2020-05-12,603392,22.34,22.34,22.34,22.34,700,1565922,2.03,9.99507631708518
2020-05-13,603392,24.57,24.57,24.57,24.57,1100,2704666,2.23,9.98209489704566
2020-05-14,603392,27.03,27.03,27.03,27.03,637,1722892,2.46,10.012210012210012
2020-05-15,603392,29.73,29.73,29.73,29.73,1320,3926768,2.7,9.988901220865705
2020-05-18,603392,32.7,32.7,32.7,32.7,745,2437262,2.97,9.989909182643794
2020-05-19,603392,35.97,35.97,35.97,35.97,817,2939360,3.27,10.0
2020-05-20,603392,39.57,39.57,39.57,39.57,1217,4816737,3.6,10.00834028356964
2020-05-21,603392,43.53,43.53,43.53,43.53,717,3122276,3.96,10.007581501137224
2020-05-22,603392,47.88,47.88,47.88,47.88,2770,13265154,4.35,9.993108201240524
2020-05-25,603392,52.67,52.67,52.67,52.67,2127,11207386,4.79,10.004177109440269
2020-05-26,603392,57.94,57.94,57.94,57.94,1730,10024431,5.27,10.005695842035314
2020-05-27,603392,63.73,63.73,63.73,63.73,1854,11821851,5.79,9.993096306523992
2020-05-28,603392,70.1,70.1,70.1,70.1,1600,11222309,6.37,9.995292640828495
2020-05-29,603392,77.11,77.11,77.11,77.11,2785,21479376,7.01,10.0
2020-06-01,603392,84.82,84.82,84.82,84.82,1132,9602048,7.71,9.998703151342236
2020-06-02,603392,93.3,93.3,93.3,93.3,3224,30088504,8.48,9.997642065550576
2020-06-03,603392,102.63,102.63,102.63,102.63,2684,27554204,9.33,10.0
2020-06-04,603392,112.89,112.89,112.89,112.89,2947,33270828,10.26,9.997076878105815
2020-06-05,603392,124.18,124.18,124.18,124.18,40697,505387136,11.29,10.000885818052971
2020-06-08,603392,136.6,136.6,136.6,136.6,14507,198169168,12.42,10.001610565308424
2020-06-09,603392,144.02,150.13,130.5,145.0,358313,5018070528,8.4,6.149341142020498
2020-06-10,603392,136.0,137.6,131.5,133.06,161979,2175755264,-11.94,-8.23448275862069
2020-06-11,603392,137.5,143.6,135.7,139.7,149055,2082361728,6.64,4.990229971441456
2020-06-12,603392,141.3,153.67,140.13,153.67,90444,1338238720,13.97,10.0
2020-06-15,603392,163.0,169.04,155.01,169.04,137676,2239789568,15.37,10.001952235309428
