tradingday,secucode,preclose,open,high,low,close,vol,amount,deals
20240219,1,9.67,9.76,9.81,9.65,9.81,160524265,1564088444.93,67009
20240219,2,10.06,10.09,10.1,9.67,9.84,135686973,1329346818.78,104272
20240219,4,9.63,9.76,10.41,9.76,10.4,8758603,88663628.64,11109
20240219,6,4.05,4.03,4.04,3.94,3.99,29248236,116572253.78,20362
20240219,7,4.02,4.02,4.12,4.0,4.08,2315100,9425597.28,651
20240219,8,2.07,2.1,2.13,2.07,2.1,22764800,47726324.65,5527
20240219,9,12.02,12.13,12.16,11.84,11.96,34156271,409059937.46,58325
20240219,10,1.95,1.95,2.06,1.95,2.02,31778902,63752507.32,10516
20240219,11,8.2,8.21,8.34,8.12,8.27,5343927,43918465.7,4319
20240219,12,5.78,5.85,5.86,5.67,5.73,20001526,114934024.96,25361
20240219,14,10.95,10.95,11.45,10.7,11.43,19346334,216067474.42,22556
20240219,16,3.01,3.09,3.11,2.96,3.01,37561710,114058894.53,22470
20240219,17,9.59,9.35,10.07,9.0,10.06,113940180,1096014618.95,108838
20240219,19,6.65,6.67,6.94,6.65,6.82,12612320,86000321.7,22873
20240219,20,11.31,11.31,12.44,11.11,12.44,18180921,214572739.42,22187
20240219,21,12.51,13.02,13.09,12.66,12.94,39627385,510477495.87,59610
20240219,25,14.6,14.78,15.18,14.64,15.14,11439670,171231298.99,24146
20240219,26,8.99,9.1,9.52,9.09,9.27,9646582,89363886.57,13461
20240219,27,6.57,6.58,6.59,6.43,6.48,34842089,226108306.24,37839
20240219,28,31.2,31.21,31.43,30.4,30.98,6700420,206093175.97,22036
20240219,29,10.87,10.8,11.59,10.75,11.29,8362669,93867982.85,18318
20240219,30,4.48,4.53,4.63,4.45,4.62,21468916,97507390.15,34276
20240219,31,2.91,2.94,2.94,2.78,2.81,29743421,84279738.37,27575
20240219,32,16.66,17.02,17.35,16.66,17.22,28032992,477884634.26,44414
20240219,34,24.81,26.56,26.81,25.46,26.79,33286853,874534296.93,58824
20240219,35,3.98,4.01,4.06,3.88,3.91,48646574,192873140.8,49498
20240219,36,2.91,2.92,2.96,2.85,2.9,19311327,56118806.97,8042
20240219,37,6.93,6.91,7.45,6.8,7.4,29890160,214435813.62,22947
20240219,39,8.78,8.8,8.83,8.4,8.68,43289302,374677982.7,57378
20240219,42,3.36,3.37,3.51,3.35,3.49,18615458,63909982.66,13713
20240219,45,8.0,8.25,8.8,8.17,8.8,19471740,167351763.73,20861
20240219,48,18.28,18.3,18.35,17.69,17.81,4791481,85711730.11,12138
20240219,49,21.75,21.78,21.99,21.12,21.42,6045122,129467758.33,20508
20240219,50,9.18,9.46,9.46,8.66,8.8,26893025,237589675.47,43060
20240219,55,3.86,3.89,3.97,3.86,3.93,8767704,34304178.26,9512
20240219,56,1.9,1.91,2.09,1.79,2.09,78152222,155028838.43,21388
20240219,58,6.21,6.29,6.42,6.16,6.32,23642386,148537962.86,26688
20240219,59,4.93,5.0,5.11,4.94,5.01,24127579,121142424.36,31311
20240219,60,4.26,4.27,4.34,4.23,4.28,54472051,232393127.49,48413
20240219,61,6.19,6.14,6.54,6.13,6.2,16077319,101018644.64,28834
20240219,62,9.27,9.56,9.94,9.52,9.86,11936020,116596530.88,25891
20240219,63,24.0,24.6,24.77,24.06,24.7,120590576,2944412876.7,119677
20240219,65,10.26,10.32,10.59,10.29,10.45,14422859,150531281.62,28789
20240219,66,9.18,9.39,9.41,9.11,9.32,52074567,480975803.51,52399
20240219,68,3.36,3.36,3.57,3.34,3.55,94895021,330909033.58,41188
20240219,69,3.04,3.06,3.08,2.94,3.0,63579458,189919140.52,35222
20240219,70,6.58,6.59,7.24,6.59,7.24,78213317,541088287.1,48251
20240219,78,2.37,2.4,2.47,2.37,2.44,24093098,58187970.63,11961
20240219,88,4.82,4.85,4.98,4.82,4.86,20282191,99431352.59,30104
20240219,89,6.7,6.79,6.79,6.5,6.54,22445792,147369654.53,33935
20240219,90,4.61,4.64,4.67,4.55,4.63,43864758,202262952.56,42256
20240219,96,10.0,9.9,10.35,9.8,10.03,3536791,35622519.96,3678
20240219,99,8.79,8.71,9.27,8.6,9.14,55135985,496566449.81,36983
20240219,100,4.16,4.2,4.34,4.16,4.34,368707114,1577374405.77,115713
20240219,151,8.87,8.9,9.6,8.7,9.48,29999033,276051672.81,26042
20240219,153,6.86,6.98,7.24,6.89,7.12,16782359,118645890.38,15677
20240219,155,10.61,10.85,10.85,10.37,10.52,17199737,181763384.52,26889
20240219,156,7.14,7.36,7.36,6.95,7.09,15978309,112948217.97,26787
20240219,157,7.74,7.76,7.92,7.65,7.92,75836302,594545441.25,62200
20240219,158,7.12,7.31,7.5,7.23,7.46,91763984,676780976.22,64171
20240219,159,4.19,4.3,4.47,4.2,4.4,20653700,90152064.0,16004
20240219,166,4.48,4.45,4.45,4.36,4.4,121509015,533460271.85,56880
20240219,301,10.46,10.53,10.72,10.37,10.7,26162138,276925418.94,30919
20240219,333,60.29,61.7,61.7,59.81,60.6,35695854,2157379733.25,89538
20240219,338,15.72,15.55,15.8,15.51,15.78,53086884,833065001.48,67948
20240219,400,21.41,21.6,21.62,20.92,21.34,15061585,318950178.11,48013
20240219,401,6.22,6.31,6.31,5.82,5.89,21277043,126723262.54,29368
20240219,402,3.62,3.69,3.69,3.37,3.43,45795736,158250689.71,35829
20240219,403,25.95,26.25,27.0,25.37,26.8,8895031,234039275.27,29836
20240219,404,5.19,5.38,5.57,5.31,5.45,33102522,179712987.95,31184
20240219,407,2.78,2.8,2.87,2.78,2.84,18936118,53537461.12,7399
20240219,408,26.1,26.25,26.59,25.83,26.41,12061600,316996506.72,29271
20240219,409,6.78,7.2,7.46,7.1,7.46,32643131,239539668.3,20257
20240219,410,6.02,6.06,6.19,6.06,6.13,8688070,53116105.76,7245
20240219,411,9.89,9.98,10.06,9.77,9.92,5072024,50217536.37,7147
20240219,415,2.1,2.12,2.14,2.06,2.08,82813068,173524828.44,35296
20240219,417,4.35,4.38,4.78,4.32,4.61,33137381,151434279.91,12831
20240219,419,3.92,4.0,4.17,4.0,4.09,17445036,71133473.0,14274
20240219,420,2.66,2.79,2.79,2.64,2.68,31302973,84025201.86,19331
20240219,421,3.98,4.0,4.16,3.92,4.15,34613081,141067553.15,32826
20240219,422,8.55,8.58,8.98,8.58,8.71,20190826,176516857.4,30899
20240219,423,57.8,58.2,59.17,56.12,58.43,9804617,567523070.29,37661
20240219,425,6.08,6.14,6.18,6.03,6.17,79074785,484385445.31,45915
20240219,426,8.79,8.8,9.06,8.8,8.94,27162418,242155852.47,43351
20240219,428,2.93,2.94,3.04,2.94,3.0,23644842,70901327.03,10947
20240219,429,9.5,9.38,9.78,9.22,9.7,17253884,165237728.57,19554
20240219,430,4.79,4.9,4.98,4.82,4.91,11469615,56059294.01,7054
20240219,488,3.52,3.53,3.59,3.46,3.5,21492269,75602069.1,24422
20240219,498,5.56,5.6,5.62,5.48,5.52,11777100,65143230.05,14552
20240219,501,7.51,7.55,7.62,7.36,7.41,7656348,57101340.04,4811
20240219,503,9.26,9.35,9.55,9.21,9.47,22508482,210630685.84,34767
20240219,504,6.42,6.66,7.06,6.55,7.06,7495888,51543182.65,8425
20240219,505,5.98,5.98,6.19,5.98,6.16,7029384,42953083.81,5890
20240219,506,2.85,2.88,2.95,2.81,2.93,30074355,87368995.83,13736
20240219,507,4.71,4.8,4.87,4.74,4.78,17340147,83149548.27,11576
20240219,509,2.54,2.55,2.79,2.54,2.73,23124952,62873280.9,11899
20240219,510,3.21,3.25,3.53,3.25,3.5,22325255,76564197.18,16256
20240219,513,36.98,37.6,37.6,36.34,37.08,8665429,318945333.34,32779
20240219,514,2.82,2.85,3.02,2.82,2.98,40745007,118741985.73,17250
20240219,516,6.22,6.32,6.41,6.19,6.24,34112054,214122451.93,27498
20240219,517,2.2,2.22,2.29,2.2,2.24,38729855,86582836.19,25533
20240219,518,1.94,1.95,2.05,1.92,2.05,47038443,94122610.28,22197
20240219,519,12.4,12.6,12.64,12.2,12.39,24186272,299581448.34,44479
20240219,520,2.06,2.06,2.16,2.06,2.13,13169656,27870920.08,5068
20240219,521,8.21,8.25,8.25,7.92,8.11,24809233,200114112.31,32264
20240219,523,2.82,2.82,2.9,2.82,2.85,15137160,43168517.4,10100
20240219,524,6.85,7.02,7.21,6.94,7.18,14936190,106225891.95,21089
20240219,525,6.51,6.55,6.83,6.54,6.79,6224939,41806620.23,1606
20240219,526,53.16,58.0,58.23,53.47,56.89,7312911,410689681.07,22079
20240219,528,7.68,7.7,7.91,7.6,7.83,28119611,219425938.84,32290
20240219,529,5.13,5.15,5.38,5.12,5.22,11429620,59964129.44,10451
20240219,530,3.39,3.45,3.64,3.45,3.6,37073650,131849591.38,34850
20240219,531,5.3,5.32,5.73,5.32,5.65,18621858,104093435.71,23466
20240219,532,9.7,9.85,10.35,9.71,10.34,25176047,255080391.89,29742
20240219,533,2.91,3.0,3.15,2.87,3.11,39373219,120738458.47,29186
20240219,534,10.98,11.0,11.25,10.91,11.19,4008359,44310837.24,7070
20240219,536,2.3,2.34,2.48,2.32,2.48,104004960,251954285.6,42866
20240219,537,9.97,10.04,10.12,9.69,9.8,11112645,109207976.59,24872
20240219,538,49.42,49.8,50.47,49.15,49.87,13860865,691118621.74,43275
20240219,539,4.83,4.8,5.01,4.8,4.92,50344316,247842933.54,45375
20240219,541,5.07,5.13,5.2,5.06,5.13,32781645,167980487.89,32323
20240219,543,7.03,7.02,7.32,7.0,7.3,40179947,288525729.35,45421
20240219,544,6.7,6.74,6.99,6.72,6.89,14720112,101327698.43,18619
20240219,545,1.75,1.76,1.9,1.76,1.9,28567090,52579995.78,10651
20240219,546,4.93,5.0,5.24,5.0,5.18,24631352,126655991.1,16753
20240219,547,7.03,7.04,7.1,6.81,6.95,31793845,219377011.08,41072
20240219,548,3.82,3.88,4.2,3.86,4.2,23517410,95643396.63,8281
