tradingday,secucode,preclose,open,high,low,close,vol,amount,deals
20230403,601607,20.37,20.25,20.7,20.15,20.34,14642305,298526579.0,29783
20230404,601607,20.34,20.45,21.2,20.45,21.09,23951596,501481613.0,40371
20230406,601607,21.09,21.08,21.3,20.97,21.1,12317367,260109294.0,34304
20230407,601607,21.1,21.11,21.4,20.98,21.26,11395761,241965413.0,24890
20230410,601607,21.26,21.23,21.5,21.08,21.1,12402090,263951406.0,25381
20230411,601607,21.1,21.32,21.32,20.89,21.15,11946940,251635352.0,28353
20230412,601607,21.15,21.15,21.41,21.06,21.07,8933992,189469999.0,23805
20230413,601607,21.07,21.1,21.6,20.93,21.5,16506405,353262317.0,29311
20230414,601607,21.5,21.5,21.66,21.38,21.41,12742602,273883813.0,24497
20230417,601607,21.41,21.42,21.87,21.3,21.79,17902883,388284374.0,35626
20230418,601607,21.79,21.7,22.08,21.65,21.82,15098068,330041584.0,24546
20230419,601607,21.82,21.75,22.5,21.72,22.32,21872933,487081223.0,34099
20230420,601607,22.32,22.24,22.6,21.86,21.97,14035513,310587147.0,26394
20230421,601607,21.97,21.98,22.34,21.91,21.99,16604737,366945720.0,33260
20230424,601607,21.99,22.15,22.3,21.8,21.89,16997333,374209392.0,38843
20230425,601607,21.89,21.88,22.25,21.6,22.01,18577842,407042145.0,37823
20230426,601607,22.01,21.98,22.22,21.81,21.98,12726113,279742385.0,24125
20230427,601607,21.98,22.11,23.0,22.0,22.96,35877923,817431597.0,64472
20230428,601607,22.96,22.85,23.02,22.38,22.91,23619281,537686939.0,38981
20230504,601607,22.91,22.88,23.85,22.76,23.1,36793613,858208221.0,63387
20230505,601607,23.1,23.09,23.25,22.59,23.02,20470625,469255735.0,38612
20230508,601607,23.02,22.95,23.74,22.8,22.97,21324371,492737192.0,41768
20230509,601607,22.97,22.9,23.02,22.26,22.38,23865892,539385385.0,46761
20230510,601607,22.38,22.4,22.57,22.23,22.42,16531539,369926527.0,34868
20230511,601607,22.42,22.38,22.38,21.82,21.9,13129609,289491744.0,26444
20230512,601607,21.9,21.98,22.45,21.81,22.03,15332138,339810262.0,29822
20230515,601607,22.03,22.0,22.15,21.39,21.8,14198763,307616327.0,30765
20230516,601607,21.8,21.85,21.92,21.49,21.54,19368414,420052868.0,33079
20230517,601607,21.54,21.61,21.68,21.37,21.56,8774627,188897380.0,27910
20230518,601607,21.56,21.6,21.95,21.5,21.65,15994201,347476109.0,36795
20230519,601607,21.65,21.62,22.05,21.43,22.0,11223646,245011339.0,28146
20230522,601607,22.0,22.02,22.48,22.01,22.13,13741024,306060753.0,30117
20230523,601607,22.13,22.13,22.58,22.09,22.25,11273702,252283425.0,26802
20230524,601607,22.25,22.1,22.15,21.4,21.87,14537878,316568755.0,36731
20230525,601607,21.87,21.76,21.93,21.45,21.79,11005914,238579639.0,28321
20230526,601607,21.79,21.87,22.75,21.63,22.6,13946583,311881890.0,27587
20230529,601607,22.6,22.8,23.17,22.66,23.04,17320150,398188590.0,42930
20230530,601607,23.04,23.03,23.17,22.54,22.94,13165232,301353267.0,31960
20230531,601607,22.94,22.94,23.48,22.81,23.45,20414380,475396416.0,36472
20230601,601607,23.45,23.34,23.5,22.72,22.84,13893915,320007764.0,33142
20230602,601607,22.84,22.8,23.11,22.8,22.86,8608600,197755617.0,19582
20230605,601607,22.86,22.87,23.58,22.72,23.43,11211198,261186183.0,21223
20230606,601607,23.43,23.45,23.72,23.01,23.06,11940171,278544393.0,30628
20230607,601607,23.06,23.07,23.5,22.92,23.07,11876259,274742816.0,30579
20230608,601607,23.07,23.19,23.2,22.45,22.75,16486145,373707456.0,34414
20230609,601607,22.75,22.76,23.98,22.5,23.2,50653183,1178184975.0,69840
20230612,601607,23.2,23.2,23.27,21.51,22.1,41807870,923219901.0,80364
20230613,601607,22.1,22.16,22.36,21.69,21.88,14961245,328122121.0,37628
20230614,601607,21.88,21.88,22.47,21.85,22.27,12849293,285694219.0,28894
20230615,601607,22.27,22.18,22.26,21.73,22.07,14958550,328584533.0,28200
20230616,601607,22.07,22.1,22.26,21.72,21.73,11891296,260476622.0,26613
20230619,601607,21.73,21.72,21.88,21.37,21.39,13678486,294284038.0,22930
20230620,601607,21.39,21.39,21.57,21.06,21.11,13118974,278278780.0,29756
20230621,601607,21.11,21.11,21.11,20.64,20.69,9561085,199285569.0,21701
20230626,601607,20.69,20.6,20.84,20.3,20.7,10934527,225585444.0,27719
20230627,601607,20.7,20.77,21.27,20.7,21.07,10704359,225227746.0,21286
20230628,601607,21.07,21.1,21.41,20.92,21.35,12436436,264202986.0,26858
20230629,601607,21.35,21.37,21.84,21.27,21.54,7705160,165922770.0,21620
20230630,601607,21.54,21.5,22.74,21.47,22.41,24264502,541628024.0,43277
20230703,601607,22.41,22.34,22.4,21.96,22.12,10213587,225658640.0,28576
20230704,601607,22.12,22.0,22.14,21.31,21.44,15203414,327631129.0,32465
20230705,601607,21.44,21.5,21.6,21.28,21.45,8641595,185119257.0,22182
