Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2020-01-02,600016,6.36,6.4,6.35,6.36,1043664,665289536,0.05,0.7923930269413629
2020-01-03,600016,6.37,6.38,6.34,6.34,599124,380992672,-0.02,-0.3144654088050315
2020-01-06,600016,6.32,6.37,6.28,6.3,802168,507810720,-0.04,-0.6309148264984227
2020-01-07,600016,6.32,6.36,6.3,6.33,574018,363619296,0.03,0.4761904761904762
2020-01-08,600016,6.32,6.33,6.26,6.29,693523,436696224,-0.04,-0.631911532385466
2020-01-09,600016,6.32,6.34,6.3,6.31,599264,378815264,0.02,0.3179650238473768
2020-01-10,600016,6.32,6.34,6.3,6.33,427512,270126464,0.02,0.3169572107765451
2020-01-13,600016,6.34,6.35,6.32,6.35,502396,318437024,0.02,0.315955766192733
2020-01-14,600016,6.36,6.41,6.35,6.38,589469,375955392,0.03,0.4724409448818897
2020-01-15,600016,6.38,6.39,6.32,6.32,453765,287653632,-0.06,-0.9404388714733544
2020-01-16,600016,6.33,6.34,6.29,6.3,391474,246823280,-0.02,-0.3164556962025316
2020-01-17,600016,6.31,6.34,6.27,6.29,444723,280207424,-0.01,-0.1587301587301587
2020-01-20,600016,6.29,6.32,6.29,6.32,451507,284871552,0.03,0.4769475357710651
2020-01-21,600016,6.3,6.31,6.25,6.25,620174,388512384,-0.07,-1.1075949367088609
2020-01-22,600016,6.26,6.33,6.21,6.26,611250,382340160,0.01,0.16
2020-01-23,600016,6.23,6.25,6.08,6.08,1172841,719120768,-0.18,-2.8753993610223643
2020-02-03,600016,5.57,5.81,5.57,5.69,2257121,1281136640,-0.39,-6.414473684210527
2020-02-04,600016,5.7,5.86,5.65,5.83,1465045,847678464,0.14,2.460456942003515
2020-02-05,600016,5.85,5.9,5.78,5.84,866989,507674816,0.01,0.1715265866209262
2020-02-06,600016,5.89,5.92,5.83,5.91,873868,513474720,0.07,1.1986301369863013
2020-02-07,600016,5.87,5.89,5.82,5.89,690933,404604640,-0.02,-0.338409475465313
2020-02-10,600016,5.85,5.88,5.84,5.86,553234,324467296,-0.03,-0.5093378607809848
2020-02-11,600016,5.88,5.93,5.87,5.9,556603,328579872,0.04,0.6825938566552902
2020-02-12,600016,5.89,5.91,5.86,5.9,497235,292778400,0.0,0.0
2020-02-13,600016,5.9,5.91,5.85,5.86,519797,305197440,-0.04,-0.6779661016949152
2020-02-14,600016,5.84,5.89,5.84,5.89,425122,249661072,0.03,0.5119453924914675
2020-02-17,600016,5.88,5.97,5.87,5.96,804352,476445632,0.07,1.1884550084889642
2020-02-18,600016,5.94,5.95,5.89,5.9,708889,419484448,-0.06,-1.006711409395973
2020-02-19,600016,5.9,5.94,5.88,5.89,667201,394348512,-0.01,-0.1694915254237288
2020-02-20,600016,5.91,5.95,5.86,5.94,936735,553245952,0.05,0.8488964346349746
2020-02-21,600016,5.92,5.95,5.89,5.91,955810,565365696,-0.03,-0.5050505050505051
2020-02-24,600016,5.91,5.93,5.85,5.86,1067721,627643008,-0.05,-0.8460236886632826
2020-02-25,600016,5.81,5.83,5.78,5.81,980348,569073536,-0.05,-0.8532423208191127
2020-02-26,600016,5.78,5.86,5.76,5.84,981498,571603712,0.03,0.5163511187607573
2020-02-27,600016,5.84,5.87,5.82,5.85,716523,418754016,0.01,0.1712328767123287
2020-02-28,600016,5.81,5.83,5.72,5.72,1163981,671577280,-0.13,-2.2222222222222223
2020-03-02,600016,5.74,5.82,5.73,5.81,851199,492952064,0.09,1.5734265734265735
