日期,时间,代码,名称,开盘,最高,最低,收盘,总手,金额,涨幅,涨幅比
2015-01-05,15:00,sh601788,光大证券,28.63,28.9,27.09,27.84,1206505,3360875008,-0.7,-2.452697967764541
2015-01-06,15:00,sh601788,光大证券,27.55,28.2,26.5,27.15,1069867,2920882432,-0.69,-2.478448275862069
2015-01-07,15:00,sh601788,光大证券,26.9,28.83,26.75,27.77,1117019,3129486080,0.62,2.283609576427256
2015-01-08,15:00,sh601788,光大证券,28.0,28.09,26.5,26.73,824363,2220719616,-1.04,-3.7450486136118113
2015-01-09,15:00,sh601788,光大证券,26.52,27.52,26.42,26.62,748412,2014918400,-0.11,-0.411522633744856
2015-01-12,15:00,sh601788,光大证券,27.63,28.8,27.2,27.61,1682038,4701121024,0.99,3.71900826446281
2015-01-13,15:00,sh601788,光大证券,27.0,27.35,26.48,26.72,829316,2225339136,-0.89,-3.223469757334299
2015-01-14,15:00,sh601788,光大证券,26.71,27.32,26.52,27.02,685561,1841334656,0.3,1.122754491017964
2015-01-15,15:00,sh601788,光大证券,26.91,27.87,26.29,27.6,1050225,2844250368,0.58,2.146558105107328
2015-01-16,15:00,sh601788,光大证券,27.5,27.7,26.6,27.04,887333,2408350720,-0.56,-2.0289855072463765
2015-01-19,15:00,sh601788,光大证券,24.34,24.34,24.34,24.34,242827,591040896,-2.7,-9.985207100591715
2015-01-20,15:00,sh601788,光大证券,22.5,23.48,22.02,22.69,1466144,3341783552,-1.65,-6.778964667214462
2015-01-21,15:00,sh601788,光大证券,23.15,24.56,22.92,24.07,1262837,2981623552,1.38,6.081974438078449
2015-01-22,15:00,sh601788,光大证券,24.07,24.27,23.52,24.01,652496,1561601536,-0.06,-0.2492729538845035
2015-01-23,15:00,sh601788,光大证券,24.25,25.22,24.19,24.28,793608,1957432832,0.27,1.1245314452311537
2015-01-26,15:00,sh601788,光大证券,24.3,24.63,23.71,24.17,483544,1167624320,-0.11,-0.4530477759472817
2015-01-27,15:00,sh601788,光大证券,24.18,24.35,23.2,23.69,525993,1251299200,-0.48,-1.985932974762102
2015-01-28,15:00,sh601788,光大证券,23.61,24.54,23.5,23.99,636224,1531276288,0.3,1.2663571127057829
2015-01-29,15:00,sh601788,光大证券,23.37,23.64,23.05,23.23,520219,1213420288,-0.76,-3.1679866611087952
2015-02-03,15:00,sh601788,光大证券,23.21,24.18,22.69,23.93,850455,1983693440,0.7,3.013344812742144
2015-02-04,15:00,sh601788,光大证券,23.8,24.37,23.31,23.38,780720,1868394240,-0.55,-2.2983702465524445
2015-02-05,15:00,sh601788,光大证券,24.2,24.27,23.23,23.28,788205,1877743104,-0.1,-0.427715996578272
2015-02-06,15:00,sh601788,光大证券,22.9,23.59,22.8,23.0,467211,1083858432,-0.28,-1.202749140893471
2015-02-09,15:00,sh601788,光大证券,22.9,24.36,22.88,23.93,811292,1927519360,0.93,4.043478260869565
2015-02-10,15:00,sh601788,光大证券,23.95,24.65,23.8,24.48,781250,1897416448,0.55,2.2983702465524445
2015-02-11,15:00,sh601788,光大证券,24.7,25.3,24.54,24.81,668064,1664024064,0.33,1.3480392156862746
2015-02-12,15:00,sh601788,光大证券,24.66,24.77,24.18,24.73,483935,1186176000,-0.08,-0.3224506247480854
2015-02-13,15:00,sh601788,光大证券,25.01,25.2,24.6,24.63,597735,1490942208,-0.1,-0.4043671653861707
2015-02-16,15:00,sh601788,光大证券,24.55,24.64,24.15,24.41,423636,1031810624,-0.22,-0.8932196508323184
2015-02-17,15:00,sh601788,光大证券,24.55,24.98,24.36,24.41,457029,1124810368,0.0,0.0
2015-02-25,15:00,sh601788,光大证券,24.41,24.53,23.69,23.79,322465,773920704,-0.62,-2.53994264645637
2015-02-26,15:00,sh601788,光大证券,23.67,25.05,23.36,24.92,678408,1660299776,1.13,4.7498949138293405
2015-02-27,15:00,sh601788,光大证券,25.0,25.13,24.61,24.7,508378,1266828160,-0.22,-0.8828250401284109
2015-03-02,15:00,sh601788,光大证券,25.25,25.66,24.71,25.13,717807,1809361280,0.43,1.7408906882591093
2015-03-03,15:00,sh601788,光大证券,25.0,25.0,23.93,23.99,591726,1441714944,-1.14,-4.536410664544369
2015-03-04,15:00,sh601788,光大证券,23.83,24.18,23.64,23.87,408868,975564160,-0.12,-0.5002084201750729
2015-03-05,15:00,sh601788,光大证券,23.8,24.18,23.4,23.7,413740,982503744,-0.17,-0.7121910347716799
2015-03-06,15:00,sh601788,光大证券,23.76,24.15,23.55,23.59,340439,811751616,-0.11,-0.4641350210970464
2015-03-09,15:00,sh601788,光大证券,22.88,23.09,21.79,23.03,690892,1548748160,-0.56,-2.373887240356084
2015-03-10,15:00,sh601788,光大证券,22.83,23.29,22.45,22.9,465207,1062500352,-0.13,-0.5644811115935736
2015-03-11,15:00,sh601788,光大证券,22.95,23.41,22.9,23.0,328905,760684416,0.1,0.4366812227074235
2015-03-12,15:00,sh601788,光大证券,23.11,23.9,23.02,23.53,495392,1162797696,0.53,2.3043478260869565
2015-03-13,15:00,sh601788,光大证券,24.01,25.8,23.93,24.6,966050,2399518208,1.07,4.547386315342116
2015-03-16,15:00,sh601788,光大证券,24.66,25.35,24.23,25.08,770225,1910984320,0.48,1.951219512195122
2015-03-17,15:00,sh601788,光大证券,25.69,25.9,25.0,25.7,988783,2522265344,0.62,2.472089314194577
2015-03-18,15:00,sh601788,光大证券,25.9,26.27,25.61,25.98,856491,2223015168,0.28,1.0894941634241244
2015-03-19,15:00,sh601788,光大证券,26.02,26.85,25.68,26.82,982133,2583747072,0.84,3.233256351039261
2015-03-20,15:00,sh601788,光大证券,27.19,29.38,26.39,28.39,1358458,3786234624,1.57,5.853840417598807
2015-03-23,15:00,sh601788,光大证券,28.78,28.87,27.95,28.59,976433,2770793216,0.2,0.7044734061289186
2015-03-24,15:00,sh601788,光大证券,28.7,28.95,27.24,27.82,908824,2545497856,-0.77,-2.693249387897866
2015-03-25,15:00,sh601788,光大证券,27.8,28.5,27.18,27.27,763140,2115211008,-0.55,-1.9769949676491727
2015-03-26,15:00,sh601788,光大证券,27.02,27.7,26.5,26.94,684960,1854608512,-0.33,-1.21012101210121
2015-03-27,15:00,sh601788,光大证券,26.96,27.48,26.8,27.07,515917,1402870656,0.13,0.4825538233110615
2015-03-30,15:00,sh601788,光大证券,27.3,28.42,26.88,28.21,912552,2546277120,1.14,4.21130402659771
2015-03-31,15:00,sh601788,光大证券,28.45,30.21,27.74,27.9,1206481,3497278208,-0.31,-1.098901098901099
2015-04-01,15:00,sh601788,光大证券,28.23,29.5,27.85,29.2,1024819,2936458496,1.3,4.659498207885305
2015-04-02,15:00,sh601788,光大证券,30.0,30.51,29.03,29.86,1225016,3663896832,0.66,2.26027397260274
2015-04-03,15:00,sh601788,光大证券,29.41,31.46,29.4,31.41,1436269,4369536512,1.55,5.190890823844608
2015-04-07,15:00,sh601788,光大证券,32.33,32.5,31.0,32.19,1210412,3857180928,0.78,2.483285577841452
2015-04-08,15:00,sh601788,光大证券,32.21,35.0,31.7,34.27,1405345,4707774464,2.08,6.461634047840945
2015-04-09,15:00,sh601788,光大证券,35.15,37.0,33.59,34.29,1468345,5171336192,0.02,0.0583600817041143
2015-04-10,15:00,sh601788,光大证券,34.29,34.88,33.29,34.76,1065747,3621275648,0.47,1.3706620005832604
2015-04-13,15:00,sh601788,光大证券,34.79,34.81,33.21,33.54,1136624,3822189312,-1.22,-3.509781357882624
2015-04-14,15:00,sh601788,光大证券,33.21,33.77,32.01,33.03,983458,3217969664,-0.51,-1.520572450805009
2015-04-15,15:00,sh601788,光大证券,32.99,33.49,31.8,31.91,667132,2197551104,-1.12,-3.390856796851347
2015-04-16,15:00,sh601788,光大证券,31.01,32.72,30.5,32.55,627935,2002118016,0.64,2.005640864932623
2015-04-17,15:00,sh601788,光大证券,33.0,33.38,32.35,33.29,829692,2730324736,0.74,2.273425499231951
2015-04-20,15:00,sh601788,光大证券,33.05,33.33,31.03,31.23,810083,2611387904,-2.06,-6.188044457795134
2015-04-21,15:00,sh601788,光大证券,31.45,33.41,31.0,33.02,841813,2726924544,1.79,5.731668267691322
2015-04-22,15:00,sh601788,光大证券,33.3,35.5,32.7,34.84,1183823,3997813504,1.82,5.511811023622047
2015-04-23,15:00,sh601788,光大证券,36.0,38.32,34.91,37.66,1907214,7032766976,2.82,8.09414466130884
2015-04-24,15:00,sh601788,光大证券,36.5,37.2,34.75,35.36,1300903,4661910528,-2.3,-6.107275624004249
2015-04-27,15:00,sh601788,光大证券,35.7,36.25,34.95,35.19,925020,3275967488,-0.17,-0.4807692307692308
2015-04-28,15:00,sh601788,光大证券,35.3,35.8,34.34,34.72,801899,2806807552,-0.47,-1.3356067064506962
2015-04-29,15:00,sh601788,光大证券,35.0,35.66,34.56,35.08,793333,2793044736,0.36,1.036866359447005
2015-04-30,15:00,sh601788,光大证券,35.1,35.45,33.7,33.91,756335,2620072704,-1.17,-3.3352337514253136
2015-05-04,15:00,sh601788,光大证券,33.94,34.01,32.76,33.36,597369,1987900672,-0.55,-1.6219404305514595
2015-05-05,15:00,sh601788,光大证券,33.43,34.49,32.0,32.28,691142,2304493824,-1.08,-3.237410071942446
2015-05-06,15:00,sh601788,光大证券,32.55,33.49,31.6,32.38,680733,2220819456,0.1,0.3097893432465923
2015-05-07,15:00,sh601788,光大证券,32.17,32.98,31.95,32.46,526935,1714830720,0.08,0.2470660901791229
2015-05-08,15:00,sh601788,光大证券,32.98,33.18,31.27,32.23,781713,2496828416,-0.23,-0.7085643869377696
2015-05-11,15:00,sh601788,光大证券,32.6,33.41,31.97,33.31,725942,2370250496,1.08,3.3509152963077877
2015-05-12,15:00,sh601788,光大证券,33.18,34.7,32.77,33.88,852526,2886753536,0.57,1.7111978384869406
2015-05-13,15:00,sh601788,光大证券,33.6,34.2,32.61,32.88,547883,1827668352,-1.0,-2.95159386068477
2015-05-14,15:00,sh601788,光大证券,32.89,33.2,32.0,32.27,454715,1475562880,-0.61,-1.855231143552312
2015-05-15,15:00,sh601788,光大证券,31.92,31.92,30.67,30.9,621038,1934657152,-1.37,-4.245429191199256
2015-05-18,15:00,sh601788,光大证券,30.5,31.02,30.03,30.31,469838,1432077312,-0.59,-1.9093851132686084
2015-05-19,15:00,sh601788,光大证券,30.08,33.29,30.08,32.96,975097,3132865536,2.65,8.742989112504123
2015-05-20,15:00,sh601788,光大证券,33.51,33.6,32.41,32.54,814960,2677435904,-0.42,-1.2742718446601942
2015-05-21,15:00,sh601788,光大证券,32.58,32.67,31.68,32.16,531558,1704729728,-0.38,-1.1677934849416105
2015-05-22,15:00,sh601788,光大证券,32.56,34.12,32.33,33.9,932582,3124304896,1.74,5.410447761194029
2015-05-25,15:00,sh601788,光大证券,33.9,35.8,33.73,34.81,863219,3015556864,0.91,2.6843657817109143
2015-05-26,15:00,sh601788,光大证券,35.0,35.5,33.81,35.15,890449,3073685760,0.34,0.9767308244757252
2015-05-27,15:00,sh601788,光大证券,35.09,35.43,34.3,34.41,763760,2660681984,-0.74,-2.1052631578947367
2015-05-28,15:00,sh601788,光大证券,34.02,34.25,30.97,30.97,946511,3113507584,-3.44,-9.99709386806161
2015-05-29,15:00,sh601788,光大证券,30.97,31.45,29.93,30.52,722583,2215742720,-0.45,-1.4530190506942202
2015-06-01,15:00,sh601788,光大证券,30.7,32.7,29.92,32.27,784294,2450754048,1.75,5.73394495412844
2015-06-02,15:00,sh601788,光大证券,32.22,32.26,31.25,31.93,623055,1978118784,-0.34,-1.0536101642392317
2015-06-03,15:00,sh601788,光大证券,32.25,32.56,31.7,31.86,526207,1686781312,-0.07,-0.2192295646727216
2015-06-04,15:00,sh601788,光大证券,32.08,33.2,30.75,33.0,787258,2542330368,1.14,3.5781544256120528
2015-06-05,15:00,sh601788,光大证券,34.0,34.59,32.48,33.13,883276,2953540352,0.13,0.393939393939394
2015-06-08,15:00,sh601788,光大证券,33.18,36.44,33.03,36.44,1574736,5517786624,3.31,9.990944763054634
2015-06-09,15:00,sh601788,光大证券,36.8,36.8,34.46,35.03,1276775,4534418432,-1.41,-3.8693743139407246
2015-06-10,15:00,sh601788,光大证券,34.73,36.68,34.44,35.41,1127487,4026771968,0.38,1.0847844704538967
2015-06-11,15:00,sh601788,光大证券,35.04,35.54,34.3,34.61,689365,2397153024,-0.8,-2.2592487997740758
2015-06-12,15:00,sh601788,光大证券,34.77,35.88,34.75,35.46,904001,3201496320,0.85,2.455937590291823
2015-06-15,15:00,sh601788,光大证券,36.15,36.5,34.63,34.99,823298,2921213440,-0.47,-1.3254371122391428
2015-06-16,15:00,sh601788,光大证券,34.77,35.56,33.5,33.98,635525,2207516160,-1.01,-2.886539011146042
2015-06-17,15:00,sh601788,光大证券,34.2,34.35,32.4,34.02,561452,1875894144,0.04,0.1177163037080635
2015-06-18,15:00,sh601788,光大证券,33.84,33.86,31.78,31.9,506076,1671601792,-2.12,-6.231628453850676
2015-06-19,15:00,sh601788,光大证券,31.0,32.5,30.05,30.37,456974,1436887808,-1.53,-4.7962382445141065
2015-06-23,15:00,sh601788,光大证券,30.31,31.98,29.15,31.92,506933,1567921408,1.55,5.103720777082647
2015-06-24,15:00,sh601788,光大证券,31.98,32.14,31.06,31.86,472255,1495598080,-0.06,-0.18796992481203
